gamelabel,gamedate,versus,guestteam,hometeam,scoreoverall,score1st,score2nd,score3rd,score4th,extratime,guesttp,hometp
13-14_04-06_DEN-HOU,04-06,DEN-HOU,DEN,HOU,125-130,27-22,25-47,36-19,29-29,8-13;,"Quincy Miller;F;2042;8;14;3;5;0;0;1;5;6;3;1;4;2;1;19;
Kenneth Faried;F;2298;7;17;0;0;2;2;3;10;13;1;1;2;2;4;16;
Timofey Mozgov;C;1648;6;9;1;1;2;4;4;3;7;0;2;1;4;1;15;
Randy Foye;G;2091;4;11;2;4;1;2;0;1;1;2;0;0;3;3;11;
Aaron Brooks;G;2823;11;24;2;7;0;0;2;6;8;15;3;0;7;5;24;
Evan Fournier;null;2339;9;16;6;10;2;2;1;3;4;4;0;0;2;3;26;
Darrell Arthur;null;1156;3;9;0;4;1;2;2;7;9;1;1;0;1;4;7;
Jan Vesely;null;1144;2;4;0;0;1;1;1;4;5;1;0;1;0;1;5;
Anthony Randolph;null;359;1;3;0;0;0;0;1;0;1;1;0;0;0;2;2;","Chandler Parsons;F;2534;5;11;2;6;3;5;2;1;3;3;2;1;3;3;15;
Terrence Jones;F;1426;6;16;0;1;2;2;1;4;5;0;2;3;1;1;14;
Omer Asik;C;2589;6;11;0;0;6;11;7;16;23;1;3;3;2;1;18;
James Harden;G;2593;9;23;3;10;11;12;0;4;4;10;4;0;5;3;32;
Jeremy Lin;G;2064;7;12;1;4;4;4;2;0;2;5;3;0;3;2;19;
Donatas Motiejunas;null;989;0;3;0;0;0;2;1;2;3;1;1;1;0;2;0;
Francisco Garcia;null;1917;5;11;1;5;0;2;1;5;6;1;0;1;0;4;11;
Isaiah Canaan;null;1116;5;8;4;7;1;2;1;0;1;2;0;1;0;2;15;
Omri Casspi;null;672;2;3;2;3;0;0;0;3;3;1;0;0;1;1;6;"
13-14_04-06_LAL-LAC,04-06,LAL-LAC,LAL,LAC,97-120,22-25,27-32,23-37,25-26,,"Kent Bazemore;F;685;1;3;0;1;0;0;0;2;2;4;0;0;0;1;2;
Ryan Kelly;F;1872;3;11;0;4;0;0;1;3;4;1;2;0;0;5;6;
Jordan Hill;C;1720;10;14;0;0;2;2;3;6;9;0;2;0;2;2;22;
Jodie Meeks;G;2349;6;15;2;6;3;3;0;1;1;1;0;0;4;2;17;
Kendall Marshall;G;2561;4;10;0;4;2;5;0;3;3;11;0;0;5;2;10;
Wesley Johnson;null;1772;3;8;2;4;2;2;0;6;6;3;3;0;1;3;10;
Robert Sacre;null;1746;3;8;0;0;3;4;4;6;10;4;0;0;0;1;9;
Nick Young;null;1567;5;15;2;11;6;7;0;2;2;2;2;0;2;3;18;
MarShon Brooks;null;128;1;2;1;1;0;0;0;1;1;0;0;0;0;0;3;","Matt Barnes;F;1637;4;6;1;3;0;0;2;6;8;3;2;0;0;2;9;
Blake Griffin;F;1847;7;14;0;0;9;13;0;7;7;6;3;0;3;3;23;
DeAndre Jordan;C;1845;5;6;0;0;1;5;3;9;12;0;0;4;2;0;11;
JJ Redick;G;1410;7;11;1;3;0;0;0;3;3;1;0;0;3;2;15;
Chris Paul;G;1702;8;10;4;4;3;4;0;4;4;6;3;0;3;0;23;
Darren Collison;null;2039;7;17;0;1;0;0;0;2;2;6;2;0;3;3;14;
Jared Dudley;null;1272;1;2;1;1;2;2;0;4;4;2;0;0;1;2;5;
Glen Davis;null;1105;3;5;0;0;1;2;2;6;8;1;1;0;0;3;7;
Willie Green;null;335;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;
Hedo Turkoglu;null;592;4;8;2;4;0;0;1;1;2;0;1;1;0;1;10;
Reggie Bullock;null;617;1;4;1;3;0;0;0;1;1;2;0;0;0;0;3;"
13-14_04-06_MEM-SAS,04-06,MEM-SAS,MEM,SAS,92-112,10-26,28-28,29-27,25-31,,"Tony Allen;F;750;2;7;0;1;0;0;1;0;1;2;1;0;1;1;4;
Zach Randolph;F;1416;3;9;0;0;2;3;3;3;6;0;1;0;4;3;8;
Marc Gasol;C;1546;3;7;0;0;0;0;1;5;6;5;1;1;1;3;6;
Courtney Lee;G;1383;1;7;0;0;2;2;1;0;1;0;0;0;1;1;4;
Mike Conley;G;1846;8;13;2;3;0;2;1;2;3;7;1;0;1;1;18;
Mike Miller;null;612;0;2;0;2;0;0;1;1;2;1;1;0;1;0;0;
James Johnson;null;1935;7;11;2;4;4;4;2;3;5;3;0;0;1;5;20;
Ed Davis;null;1315;3;5;0;0;3;6;1;2;3;1;1;0;1;0;9;
Nick Calathes;null;1043;2;6;0;2;0;0;0;2;2;1;1;0;1;4;4;
Kosta Koufos;null;1040;4;9;0;0;0;0;2;3;5;0;1;2;1;0;8;
Beno Udrih;null;735;3;6;0;0;0;0;0;0;0;2;0;0;0;0;6;
Jon Leuer;null;428;0;2;0;1;0;0;0;2;2;0;0;0;0;0;0;
Jamaal Franklin;null;351;2;2;1;1;0;0;0;1;1;0;0;0;1;1;5;","Kawhi Leonard;F;1785;12;13;2;2;0;0;0;3;3;5;0;0;1;1;26;
Tim Duncan;F;1700;5;10;0;0;3;3;1;4;5;1;2;1;2;2;13;
Tiago Splitter;C;1094;0;3;0;0;2;2;1;3;4;1;1;0;1;2;2;
Danny Green;G;1077;4;8;1;3;0;1;1;1;2;1;2;0;0;1;9;
Tony Parker;G;559;4;4;0;0;2;2;0;1;1;1;0;0;1;0;10;
Boris Diaw;null;1120;0;2;0;1;0;0;0;4;4;1;1;0;3;3;0;
Manu Ginobili;null;1534;8;11;4;6;6;6;0;4;4;3;0;0;2;1;26;
Marco Belinelli;null;1172;1;5;1;3;2;2;0;1;1;4;0;0;3;1;5;
Patty Mills;null;1226;3;5;1;3;0;0;0;6;6;4;0;0;1;0;7;
Jeff Ayres;null;806;1;2;0;0;2;2;1;4;5;0;0;2;1;4;4;
Cory Joseph;null;1236;4;6;0;1;0;0;0;1;1;5;1;0;0;0;8;
Matt Bonner;null;740;0;2;0;0;0;0;0;1;1;1;0;0;0;1;0;
Austin Daye;null;351;1;6;0;3;0;0;2;1;3;0;0;0;0;0;2;"
13-14_04-06_NOP-POR,04-06,NOP-POR,NOP,POR,94-100,25-25,30-23,14-29,25-23,,"Darius Miller;F;1410;1;3;1;1;0;0;0;1;1;1;1;0;1;3;3;
Anthony Davis;F;2040;6;18;0;0;3;3;0;5;5;1;0;4;0;3;15;
Greg Stiemsma;C;1037;2;4;0;0;0;0;2;1;3;1;2;0;0;2;4;
Tyreke Evans;G;2017;4;9;0;0;2;3;2;3;5;8;1;0;2;3;10;
Brian Roberts;G;2179;6;17;0;5;1;2;1;3;4;4;2;0;3;1;13;
Anthony Morrow;null;1995;6;12;2;5;3;3;2;2;4;2;1;0;2;2;17;
Austin Rivers;null;1450;5;11;1;1;3;4;0;0;0;1;1;0;1;1;14;
Jeff Withey;null;182;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;
Alexis Ajinca;null;840;6;11;0;0;1;1;4;3;7;0;2;0;0;2;13;
Al-Farouq Aminu;null;1250;2;4;0;0;0;0;2;7;9;3;0;0;1;2;4;","Nicolas Batum;F;2349;7;12;2;7;0;0;2;10;12;4;1;1;1;1;16;
LaMarcus Aldridge;F;2178;11;25;0;0;3;4;8;10;18;4;0;4;3;1;25;
Robin Lopez;C;1373;2;2;0;0;0;0;1;1;2;2;0;0;3;5;4;
Wesley Matthews;G;1861;7;13;3;7;4;4;0;5;5;1;0;0;2;4;21;
Damian Lillard;G;2318;9;19;0;2;2;3;0;6;6;5;3;0;1;1;20;
Mo Williams;null;1972;3;9;0;3;2;2;0;0;0;2;1;0;4;1;8;
Thomas Robinson;null;658;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;
Will Barton;null;315;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;
Dorell Wright;null;1139;1;4;0;3;2;2;2;1;3;2;0;1;0;0;4;
Meyers Leonard;null;237;1;1;0;0;0;0;1;1;2;0;0;0;0;2;2;"
13-14_04-06_NYK-MIA,04-06,NYK-MIA,NYK,MIA,91-102,26-25,24-23,14-25,27-29,,"Carmelo Anthony;F;2643;4;17;1;4;4;5;3;2;5;6;2;1;1;2;13;
Amar'e Stoudemire;F;1781;5;9;0;0;2;2;2;3;5;1;1;1;2;3;12;
Tyson Chandler;C;2053;4;7;0;0;2;2;3;8;11;0;0;0;1;1;10;
J.R. Smith;G;2560;11;28;10;22;0;0;0;5;5;3;2;0;2;5;32;
Raymond Felton;G;1844;6;12;2;5;1;2;1;1;2;5;4;0;3;4;15;
Pablo Prigioni;null;1016;0;1;0;1;0;0;0;1;1;1;0;0;1;2;0;
Iman Shumpert;null;1698;3;7;2;6;1;2;6;2;8;2;1;0;0;4;9;
Tim Hardaway Jr.;null;724;0;7;0;4;0;0;0;1;1;0;0;0;0;3;0;
Shannon Brown;null;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Toure Murry;null;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jeremy Tyler;null;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cole Aldrich;null;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;","LeBron James;F;2567;13;22;3;7;9;12;0;5;5;6;1;0;5;0;38;
Udonis Haslem;F;1695;2;4;0;0;2;2;3;8;11;2;0;0;2;3;6;
Chris Bosh;C;1905;5;7;1;3;3;4;2;5;7;0;0;0;3;2;14;
Toney Douglas;G;1485;2;5;0;2;1;2;1;2;3;3;0;0;1;3;5;
Mario Chalmers;G;1802;4;7;2;3;5;6;0;4;4;4;1;0;1;2;15;
Shane Battier;null;1877;2;2;2;2;0;2;1;2;3;1;3;0;3;3;6;
Ray Allen;null;1736;4;10;4;9;0;0;0;1;1;1;1;0;1;1;12;
Norris Cole;null;990;1;2;0;0;0;0;0;1;1;5;0;0;0;1;2;
Rashard Lewis;null;342;1;2;0;1;2;2;0;0;0;0;0;0;0;2;4;"
13-14_04-06_OKC-PHX,04-06,OKC-PHX,OKC,PHX,115-122,25-28,28-34,38-32,24-28,,"Kevin Durant;F;2589;13;28;4;15;8;10;2;9;11;3;2;0;3;0;38;
Serge Ibaka;F;2107;3;5;0;0;5;6;1;5;6;1;1;0;1;5;11;
Kendrick Perkins;C;809;2;3;0;0;0;2;1;2;3;0;0;0;0;2;4;
Andre Roberson;G;319;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;
Russell Westbrook;G;2009;12;26;2;9;7;8;1;3;4;8;0;2;5;6;33;
Derek Fisher;null;1633;2;3;1;1;0;0;1;2;3;3;0;0;1;4;5;
Nick Collison;null;876;3;3;0;0;0;0;0;1;1;0;1;1;1;1;6;
Reggie Jackson;null;1995;3;8;1;3;4;4;1;6;7;2;1;0;1;3;11;
Caron Butler;null;1580;1;6;1;3;2;2;0;1;1;0;0;1;0;3;5;
Jeremy Lamb;null;483;1;2;0;1;0;0;0;0;0;0;1;0;0;5;2;","PJ Tucker;F;2418;7;9;4;5;4;6;1;6;7;3;2;2;0;4;22;
Channing Frye;F;1105;1;5;0;3;0;0;0;2;2;0;0;0;0;4;2;
Miles Plumlee;C;1103;3;5;0;0;2;2;2;4;6;0;0;0;0;3;8;
Goran Dragic;G;2444;11;19;2;5;2;3;0;2;2;5;1;0;1;2;26;
Eric Bledsoe;G;1890;6;13;0;2;6;11;0;4;4;4;3;0;5;1;18;
Markieff Morris;null;1616;4;6;0;0;2;2;0;4;4;3;0;0;4;3;10;
Gerald Green;null;2006;7;11;5;7;5;7;1;1;2;0;0;0;2;4;24;
Shavlik Randolph;null;374;1;2;0;0;0;0;1;4;5;1;0;0;0;1;2;
Marcus Morris;null;1116;5;6;0;0;0;0;0;4;4;0;0;0;0;1;10;
Ish Smith;null;328;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;"
13-14_04-06_UTA-GSW,04-06,UTA-GSW,UTA,GSW,102-130,22-35,30-31,21-35,29-29,,"Richard Jefferson;F;1224;1;2;0;1;0;2;0;1;1;1;2;1;1;3;2;
Marvin Williams;F;1324;2;5;1;3;2;2;0;4;4;0;1;0;1;1;7;
Derrick Favors;C;1355;5;11;0;0;0;0;0;4;4;0;2;0;0;0;10;
Gordon Hayward;G;1717;4;9;0;0;2;2;0;0;0;3;0;0;4;3;10;
Trey Burke;G;2412;10;21;2;5;2;2;1;3;4;15;1;0;3;1;24;
Alec Burks;null;2017;5;10;0;1;14;16;0;4;4;5;4;0;2;2;24;
Diante Garrett;null;572;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;
Enes Kanter;null;1367;4;11;0;0;0;2;4;8;12;1;0;0;1;2;8;
Jeremy Evans;null;1379;4;8;0;0;0;2;3;2;5;1;2;0;0;1;8;
Ian Clark;null;720;3;6;1;2;0;0;0;2;2;1;1;0;0;0;7;
Rudy Gobert;null;313;1;1;0;0;0;0;0;1;1;0;0;0;0;0;2;","Andre Iguodala;F;1295;4;6;1;3;2;2;0;1;1;1;1;0;2;0;11;
Draymond Green;F;1599;5;6;1;1;0;0;0;4;4;1;1;1;2;2;11;
Andrew Bogut;C;1352;3;4;0;0;0;0;1;10;11;2;1;0;1;4;6;
Klay Thompson;G;1836;11;20;7;10;4;4;0;3;3;1;1;0;0;1;33;
Stephen Curry;G;1768;12;18;5;10;2;2;0;1;1;16;3;0;5;2;31;
Jermaine O'Neal;null;1052;3;7;0;0;1;1;3;7;10;2;0;1;0;4;7;
Harrison Barnes;null;1652;5;8;0;2;0;0;0;5;5;1;2;0;0;4;10;
Steve Blake;null;1449;1;3;1;2;0;0;0;0;0;5;0;0;2;1;3;
Jordan Crawford;null;1134;4;8;2;4;0;0;0;2;2;4;0;0;1;0;10;
Marreese Speights;null;987;4;9;0;1;0;0;1;5;6;0;0;0;3;5;8;
Hilton Armstrong;null;276;0;1;0;0;0;0;1;1;2;1;0;0;0;0;0;"
13-14_04-08_BKN-MIA,04-08,BKN-MIA,BKN,MIA,88-87,26-14,18-29,18-22,26-22,,"Joe Johnson;F;1983;9;17;1;4;0;0;0;2;2;0;0;0;1;1;19;
Paul Pierce;F;1939;5;8;1;3;3;3;0;4;4;1;2;2;3;5;14;
Mason Plumlee;C;1819;4;6;0;0;0;0;3;5;8;2;1;3;0;2;8;
Shaun Livingston;G;1684;2;6;0;0;0;0;0;2;2;1;0;0;3;2;4;
Deron Williams;G;2063;3;9;1;4;1;4;1;5;6;6;2;1;3;2;8;
Marcus Thornton;null;1696;6;8;4;5;0;0;0;6;6;1;4;1;3;0;16;
Andrei Kirilenko;null;647;0;0;0;0;1;2;0;3;3;0;0;0;0;1;1;
Mirza Teletovic;null;1355;4;8;2;6;1;1;0;2;2;1;0;0;0;1;11;
Alan Anderson;null;1214;3;6;0;1;1;4;0;2;2;1;0;0;2;0;7;","LeBron James;F;2228;9;16;0;3;11;14;1;9;10;6;2;0;3;0;29;
Shane Battier;F;1187;1;2;1;2;0;0;0;1;1;0;1;0;0;1;3;
Chris Bosh;C;2143;5;13;0;4;2;3;2;4;6;1;0;2;2;3;12;
Toney Douglas;G;1400;2;5;2;5;0;0;0;2;2;1;0;0;1;2;6;
Mario Chalmers;G;1698;3;8;1;2;0;0;0;2;2;5;1;0;2;3;7;
Chris Andersen;null;1161;2;4;0;0;1;2;1;4;5;0;0;0;1;0;5;
Ray Allen;null;1387;2;5;2;4;0;0;1;3;4;0;0;1;1;4;6;
Rashard Lewis;null;1693;4;7;1;2;0;0;1;2;3;0;2;0;2;2;9;
Norris Cole;null;1503;5;9;0;2;0;0;0;1;1;4;3;0;1;0;10;"
13-14_04-08_DAL-UTA,04-08,DAL-UTA,DAL,UTA,95-83,39-25,22-21,20-19,14-18,,"Shawn Marion;F;1996;4;8;2;4;0;0;1;5;6;1;1;1;1;0;10;
Dirk Nowitzki;F;1972;9;11;2;3;1;1;0;6;6;3;0;0;0;0;21;
Samuel Dalembert;C;1635;5;6;0;0;0;0;1;5;6;2;0;2;0;2;10;
Monta Ellis;G;2305;7;17;1;4;1;2;1;3;4;5;0;0;2;0;16;
Jose Calderon;G;1842;4;6;0;2;2;4;0;3;3;4;0;1;2;2;10;
Vince Carter;null;1336;5;11;3;7;0;0;0;2;2;3;0;0;1;4;13;
DeJuan Blair;null;609;2;3;0;0;0;0;0;2;2;0;0;1;0;2;4;
Devin Harris;null;1041;3;5;1;3;2;4;0;1;1;6;2;0;2;0;9;
Jae Crowder;null;647;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;
Wayne Ellington;null;367;1;1;0;0;0;0;1;1;2;0;0;0;0;1;2;
Brandan Wright;null;636;0;3;0;0;0;0;2;1;3;0;0;0;1;0;0;
Shane Larkin;null;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;","Richard Jefferson;F;1577;6;17;2;8;1;3;0;1;1;1;0;0;1;1;15;
Marvin Williams;F;477;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;
Derrick Favors;C;1623;8;13;0;0;3;3;4;3;7;0;1;0;1;3;19;
Gordon Hayward;G;2476;5;14;1;6;0;2;2;2;4;5;2;0;1;2;11;
Trey Burke;G;1874;2;8;0;5;0;0;1;1;2;5;0;0;0;2;4;
Alec Burks;null;1766;5;10;0;2;0;1;1;0;1;2;2;0;1;3;10;
Jeremy Evans;null;1937;3;9;0;0;0;0;6;5;11;0;1;1;2;2;6;
Enes Kanter;null;1664;6;12;0;0;3;4;9;10;19;1;0;2;1;1;15;
Diante Garrett;null;1006;1;2;1;1;0;0;0;2;2;2;1;0;2;1;3;"
13-14_04-08_DET-ATL,04-08,DET-ATL,DET,ATL,102-95,35-27,23-25,23-26,21-17,,"Kyle Singler;F;2034;1;6;0;3;0;0;1;3;4;0;2;0;1;0;2;
Greg Monroe;F;2340;10;24;0;0;1;1;6;7;13;2;2;0;2;3;21;
Andre Drummond;C;1861;7;9;0;0;5;11;5;12;17;0;2;2;2;5;19;
Rodney Stuckey;G;2344;8;17;1;3;12;14;1;3;4;4;1;0;8;2;29;
Brandon Jennings;G;2013;3;10;1;4;0;0;1;1;2;6;0;0;1;2;7;
Kentavious Caldwell-Pope;null;1382;3;10;0;1;0;0;2;1;3;0;3;1;0;3;6;
Jonas Jerebko;null;1531;2;4;1;2;3;4;0;8;8;0;2;1;1;2;8;
Peyton Siva;null;895;3;6;3;4;1;2;0;2;2;2;1;0;0;3;10;","DeMarre Carroll;F;2109;2;10;0;5;4;4;4;5;9;3;1;1;1;4;8;
Paul Millsap;F;2191;10;19;0;2;4;8;6;6;12;4;2;1;2;5;24;
Pero Antic;C;1662;4;13;2;6;3;4;6;3;9;0;1;1;3;3;13;
Kyle Korver;G;2263;4;16;4;12;0;0;0;5;5;5;2;0;3;3;12;
Jeff Teague;G;2030;5;9;1;4;4;4;0;1;1;9;0;0;2;0;15;
Cartier Martin;null;773;1;4;1;2;0;0;0;0;0;0;1;0;1;1;3;
Elton Brand;null;1211;2;3;0;0;0;0;1;6;7;0;1;2;1;3;4;
Shelvin Mack;null;1060;3;7;1;2;3;4;0;2;2;3;0;0;2;2;10;
Mike Scott;null;688;2;5;0;1;0;0;0;3;3;1;1;0;1;2;4;
Dennis Schroder;null;414;1;3;0;1;0;0;0;0;0;1;0;0;0;0;2;"
13-14_04-08_HOU-LAL,04-08,HOU-LAL,HOU,LAL,145-130,35-26,31-35,49-29,30-40,,"Chandler Parsons;F;1894;8;13;2;6;1;2;1;2;3;8;2;1;1;2;19;
Terrence Jones;F;1955;13;18;1;1;6;8;2;5;7;2;1;1;0;3;33;
Omer Asik;C;1465;4;7;0;0;2;2;0;15;15;0;1;2;3;2;10;
James Harden;G;1906;10;15;3;6;10;11;1;2;3;12;0;1;1;3;33;
Jeremy Lin;G;1575;4;8;1;2;0;0;2;2;4;6;3;1;3;4;9;
Donatas Motiejunas;null;1410;5;11;0;2;3;5;4;11;15;0;0;1;1;1;13;
Isaiah Canaan;null;1612;6;8;3;4;0;0;0;1;1;1;0;0;2;1;15;
Francisco Garcia;null;1379;2;9;1;4;0;0;1;2;3;3;0;2;2;5;5;
Omri Casspi;null;791;3;4;0;0;0;0;1;4;5;1;1;0;1;0;6;
Jordan Hamilton;null;413;1;4;0;1;0;0;0;2;2;0;0;0;0;1;2;","Wesley Johnson;F;2322;3;11;3;5;2;2;1;3;4;5;1;0;2;1;11;
Ryan Kelly;F;1913;5;11;0;3;8;11;0;3;3;2;1;1;0;4;18;
Jordan Hill;C;1421;5;9;0;0;2;2;1;4;5;3;1;3;1;4;12;
Jodie Meeks;G;2289;12;21;2;6;4;5;1;3;4;6;1;0;1;0;30;
Kendall Marshall;G;1142;0;4;0;2;0;0;0;0;0;4;1;0;1;1;0;
Jordan Farmar;null;1593;5;10;2;4;3;3;0;5;5;8;3;2;4;0;15;
Nick Young;null;1376;11;19;6;10;4;6;0;1;1;3;0;0;0;4;32;
Robert Sacre;null;1174;2;6;0;0;2;2;1;5;6;0;0;1;1;6;6;
Steve Nash;null;790;1;2;1;1;0;0;1;2;3;5;0;0;1;0;3;
MarShon Brooks;null;380;0;2;0;1;3;4;0;2;2;2;0;0;0;0;3;"
13-14_04-08_OKC-SAC,04-08,OKC-SAC,OKC,SAC,107-92,30-27,31-22,24-28,22-15,,"Kevin Durant;F;1870;8;13;2;4;5;5;0;4;4;4;0;0;3;1;23;
Serge Ibaka;F;1660;8;16;0;1;3;4;0;4;4;1;0;0;0;3;19;
Kendrick Perkins;C;869;1;2;0;0;1;2;2;1;3;1;0;0;0;3;3;
Thabo Sefolosha;G;923;0;2;0;1;2;2;1;2;3;1;0;0;1;1;2;
Reggie Jackson;G;1497;5;11;2;3;1;2;1;3;4;5;1;0;0;0;13;
Caron Butler;null;1587;8;10;6;6;1;2;0;5;5;2;1;0;0;2;23;
Nick Collison;null;1080;3;6;0;1;1;2;1;6;7;3;0;0;1;4;7;
Derek Fisher;null;1435;1;5;0;2;0;0;1;2;3;5;1;0;0;3;2;
Steven Adams;null;1638;0;1;0;0;5;8;3;2;5;0;1;3;0;3;5;
Jeremy Lamb;null;1010;4;9;2;4;0;0;0;0;0;1;1;1;1;1;10;
Perry Jones;null;370;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;
Andre Roberson;null;297;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Hasheem Thabeet;null;164;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;","Travis Outlaw;F;2200;11;20;1;6;1;2;2;3;5;4;0;0;1;2;24;
Jason Thompson;F;2134;3;8;0;0;5;7;4;3;7;0;0;1;1;3;11;
DeMarcus Cousins;C;2093;10;24;0;0;4;6;4;10;14;1;2;2;3;4;24;
Ben McLemore;G;2347;3;9;1;4;4;4;1;7;8;2;0;0;2;1;11;
Ray McCallum;G;2725;3;14;1;3;0;0;0;2;2;5;2;0;2;4;7;
Derrick Williams;null;1228;0;0;0;0;1;2;0;2;2;0;0;0;0;1;1;
Quincy Acy;null;1022;3;5;0;1;0;1;1;2;3;0;0;1;0;1;6;
Jared Cunningham;null;383;1;2;0;0;6;6;0;1;1;1;1;0;0;2;8;
Aaron Gray;null;268;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;"
13-14_04-08_SAS-MIN,04-08,SAS-MIN,SAS,MIN,91-110,19-27,15-27,29-31,28-25,,"Kawhi Leonard;F;1618;5;10;0;2;1;1;0;6;6;1;2;1;0;3;11;
Tim Duncan;F;1194;4;11;0;0;2;4;3;3;6;1;0;4;3;2;10;
Boris Diaw;C;1368;6;13;1;2;0;0;2;4;6;5;0;0;5;4;13;
Danny Green;G;1489;1;6;0;4;3;4;0;2;2;4;1;1;2;4;5;
Cory Joseph;G;1199;4;5;0;0;5;8;1;1;2;2;3;0;1;2;13;
Manu Ginobili;null;877;3;7;0;1;1;2;0;2;2;1;1;0;1;0;7;
Patty Mills;null;1333;3;7;2;3;0;0;0;0;0;0;0;0;1;1;8;
Tiago Splitter;null;780;0;2;0;0;1;2;1;3;4;1;0;0;2;2;1;
Marco Belinelli;null;1557;1;4;0;0;1;2;0;1;1;1;0;0;0;0;3;
Matt Bonner;null;1199;5;8;1;3;0;0;1;2;3;2;0;0;0;1;11;
Jeff Ayres;null;1219;3;4;0;0;1;2;3;1;4;0;1;1;0;2;7;
Austin Daye;null;284;1;3;0;2;0;0;0;0;0;1;0;0;1;1;2;
Damion James;null;284;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;","Corey Brewer;F;1711;5;8;1;1;3;3;0;3;3;2;4;0;2;1;14;
Kevin Love;F;1970;5;15;2;6;7;7;2;10;12;4;0;1;4;0;19;
Gorgui Dieng;C;1602;4;15;0;0;4;5;7;8;15;0;0;1;0;3;12;
Robbie Hummel;G;2113;4;10;1;4;0;0;3;4;7;0;1;0;1;2;9;
Ricky Rubio;G;2045;10;17;0;1;3;4;0;2;2;7;1;0;2;2;23;
Luc Mbah a Moute;null;1156;5;7;1;1;0;0;1;0;1;0;0;0;0;2;11;
Ronny Turiaf;null;1278;4;5;0;0;2;4;3;6;9;1;0;1;1;3;10;
Jose Juan Barea;null;1285;3;9;0;2;1;1;0;1;1;4;0;0;5;4;7;
Dante Cunningham;null;910;2;4;0;0;1;2;0;1;1;5;3;0;0;0;5;
Alexey Shved;null;237;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;
Othyus Jeffers;null;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"
13-14_04-09_BKN-ORL,04-09,BKN-ORL,BKN,ORL,111-115,22-20,21-35,35-28,33-32,,"Joe Johnson;F;2193;11;19;2;6;7;8;2;2;4;5;0;0;2;1;31;
Mirza Teletovic;F;1899;5;17;5;12;2;4;3;6;9;0;1;0;1;4;17;
Kevin Garnett;C;992;2;2;0;0;1;1;2;6;8;6;0;0;1;1;5;
Alan Anderson;G;1992;3;4;1;2;2;4;1;6;7;1;0;0;2;1;9;
Deron Williams;G;1988;3;14;1;6;4;6;1;2;3;5;3;0;3;4;11;
Mason Plumlee;null;1624;7;8;0;0;2;3;2;3;5;1;0;0;2;6;16;
Marcus Thornton;null;1389;3;8;1;3;6;6;1;0;1;0;1;0;1;3;13;
Jorge Gutierrez;null;892;2;4;0;0;0;0;1;1;2;2;0;0;1;3;4;
Andrei Kirilenko;null;1417;2;3;0;0;1;2;0;2;2;2;2;0;0;0;5;
Jason Collins;null;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;","Maurice Harkless;F;1907;2;7;1;3;3;4;1;0;1;2;2;1;2;3;8;
Kyle O'Quinn;F;1672;6;9;0;0;1;2;5;3;8;1;1;2;1;4;13;
Dewayne Dedmon;C;1177;2;3;0;0;0;1;2;7;9;0;1;2;0;2;4;
Arron Afflalo;G;1995;9;16;2;5;5;8;1;3;4;5;0;0;1;4;25;
Jameer Nelson;G;1722;4;9;2;6;4;4;1;4;5;7;1;0;4;2;14;
Tobias Harris;null;1419;6;10;1;1;3;5;1;7;8;1;2;0;2;4;16;
Andrew Nicholson;null;1490;4;7;0;0;1;2;0;3;3;0;0;0;1;1;9;
Victor Oladipo;null;1158;4;8;0;2;1;4;0;3;3;6;1;0;3;0;9;
E'Twaun Moore;null;1105;6;6;5;5;0;0;0;0;0;1;1;0;0;2;17;
Doron Lamb;null;755;0;2;0;2;0;0;0;0;0;3;1;0;0;2;0;"
